lon,lat,AOD,albedo,cloud,tp,tp_local,tp_yang_match
-70.25,-53.75,0.0460971388757782,0.0142614904215448,0.672687065313194,5,3,5
-69.75,-53.75,0.0472546243229272,0.124082046097653,0.640762753363094,5,3,5
-69.25,-53.75,0.0472546243229272,0.163769874230344,0.668170964253288,5,3,5
-68.75,-53.75,0.0466477872923831,0.144866076961042,0.679929577169892,5,3,5
-68.25,-53.75,0.0466477872923831,0.116478339874432,0.633918328406102,5,3,5
-67.75,-53.75,0.0426921088710584,0.0555860566452788,0.620423264968411,5,3,5
-73.75,-53.25,0.0665048434585216,0.0171616619732596,0.873229422636773,5,3,5
-73.25,-53.25,0.0665048434585216,0.0699106250696153,0.914693234655129,5,3,5
-72.75,-53.25,0.0590991841413256,0.243458849822973,0.933874694237088,5,3,5
-72.25,-53.25,0.0590991841413256,0.130887482282426,0.852897613546602,5,3,5
-71.75,-53.25,0.0558402445328479,0.126470166728717,0.762648726127719,5,3,5
-71.25,-53.25,0.0558402445328479,0.17169703615485,0.736313092460437,5,3,5
-70.75,-53.25,0.0460971388757782,0.0448394166405276,0.647245426384686,5,3,5
-70.25,-53.25,0.0460971388757782,0.112093673228213,0.675082441392637,5,3,5
-69.75,-53.25,0.0472546243229272,0.137222683173161,0.707085350251339,5,3,5
-69.25,-53.25,0.0472546243229272,0.137949382986087,0.674051765341327,5,3,5
-68.75,-53.25,0.0466477872923831,0.120489557077704,0.651611136769637,5,3,5
-68.25,-53.25,0.0466477872923831,0.0142614904215448,0.62486226374945,5,3,5
-73.75,-52.75,0.0599644887959904,0.0313389586257101,0.840463015677055,5,3,5
-73.25,-52.75,0.0599644887959904,0.220624343655065,0.939089405851823,5,3,5
-72.75,-52.75,0.0506708920504349,0.292356220154365,0.869078062771743,5,3,5
-72.25,-52.75,0.0506708920504349,0.126488592665376,0.811553062673497,5,3,5
-71.75,-52.75,0.0491650371968624,0.0900541274697086,0.728336665863733,5,3,5
-71.25,-52.75,0.0491650371968624,0.092750515393485,0.673456387316289,5,3,5
-70.75,-52.75,0.0415908120378487,0.0736170843611862,0.656236964267848,5,3,5
-70.25,-52.75,0.0415908120378487,0.0168011452075614,0.650069297348147,5,3,5
-69.75,-52.75,0.042029083226575,0.0403087092553028,0.633854987028611,5,3,5
-69.25,-52.75,0.042029083226575,0.106971586323491,0.637633617160514,5,3,5
-68.75,-52.75,0.0425347807520284,0.0855315774899765,0.642433646331563,5,3,5
-68.25,-52.75,0.0425347807520284,0.0142614904215448,0.617888424472784,5,3,5
-73.75,-52.25,0.0599644887959904,0.0300266473188662,0.880436424152469,5,3,5
-73.25,-52.25,0.0599644887959904,0.242478269551894,0.909429767187582,5,3,5
-72.75,-52.25,0.0506708920504349,0.221581079931137,0.85184673422436,5,3,5
-72.25,-52.25,0.0506708920504349,0.269852567015602,0.8644168795494,5,3,5
-71.75,-52.25,0.0491650371968624,0.274169562802989,0.79530221123383,5,3,5
-71.25,-52.25,0.0491650371968624,0.184146000037391,0.694835055690097,5,3,5
-70.75,-52.25,0.0415908120378487,0.165651901066494,0.693387584097887,5,3,5
-70.25,-52.25,0.0415908120378487,0.161912734633416,0.705968552603784,5,3,5
-69.75,-52.25,0.042029083226575,0.126269972972254,0.68404790056383,5,3,5
-69.25,-52.25,0.042029083226575,0.0763060173520976,0.65872366737814,5,3,5
-68.75,-52.25,0.0425347807520284,0.0454079980755442,0.632827557931559,5,3,5
-60.75,-52.25,0.0561661384936956,0.0327116614530409,0.65421478177214,5,3,5
-60.25,-52.25,0.0561661384936956,0.047472802522609,0.6481688498676,5,3,5
-59.75,-52.25,0.0576719933472681,0.0491023129391228,0.649502987294552,5,3,5
-59.25,-52.25,0.0576719933472681,0.0336164484561311,0.659286163548957,5,3,5
-58.75,-52.25,0.056829164138179,0.0142614904215448,0.648581831525723,5,3,5
-73.75,-51.75,0.0544242914615782,0.0878258371385525,0.873924167769869,5,3,5
-73.25,-51.75,0.0544242914615782,0.32856728182997,0.870006588611347,5,5,5
-72.75,-51.75,0.0404895152046389,0.131618919464204,0.757389897166253,5,3,5
-72.25,-51.75,0.0404895152046389,0.223701052687518,0.706957739795142,5,3,5
-71.75,-51.75,0.0329490032139887,0.196261785929359,0.672945069329238,5,3,5
-71.25,-51.75,0.0329490032139887,0.156883617742943,0.651699319924142,5,3,5
-70.75,-51.75,0.0251163104308543,0.149331245702719,0.659406043161686,5,3,5
-70.25,-51.75,0.0251163104308543,0.138797370680689,0.661388489121962,5,3,5
